No;EXPEDIENTE;CODIGO OSINERGMIN;REGISTRO;RUC;RAZON SOCIAL;DIRECCION OPERATIVA;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO DE ESTABLECIMIENTO;TANQUE 1;TANQUE 2;TANQUE 3;TANQUE 4;TANQUE 5;TANQUE 6;TANQUE 7;TANQUE 8;TANQUE 9;TANQUE 10;CAP.TOTAL CL (gln);FEC. EMISION;TÉRMINO DE VIGENCIA;REPRESENTANTE;GLP EN CILINDROS (kg)
3132;202300231723;158216;158216-050-260923;20600511514;ESTACION DE SERVICIOS LAS ORQUIDEAS & JC E.I.R.L.;AV. REVERENDO PADRE JOSE EGG,SUB LOTE 8B;PASCO;OXAPAMPA;POZUZO;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:4500:Diesel B5 S-50 C2:1500:GASOHOL REGULAR;C1:2000:GASOHOL PREMIUM C2:4000:GASOHOL REGULAR;nan;nan;nan;nan;nan;nan;nan;nan;12000.0;26/09/2023;INDEFINIDO;CORREA ARROYO, SAUL CESAR;480
3133;201600115237;40388;40388-050-140816;10192397249;RUBE ALBERTO BALAREZO BALAREZO;JR. REAL N° 598;LA LIBERTAD;CHEPEN;PUEBLO NUEVO;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:3000:GASOHOL 84 PLUS;C1:3000:DIESEL B5,Diesel B5 S-50;C1:2000:GASOHOL 90 PLUS;nan;nan;nan;nan;nan;nan;nan;8000.0;14/08/2016;INDEFINIDO;RUBE ALBERTO BALAREZO BALAREZO;720
3134;202300214071;84366;84366-050-201123;10275679521;RAFAEL VASQUEZ MIRES;AVENIDA TUPAC AMARU N° 1071 - 1073;CAJAMARCA;HUALGAYOC;BAMBAMARCA;ESTACIONES DE SERVICIOS;C1:3970:DIESEL B5,Diesel B5 S-50;C1:3970:GASOHOL REGULAR;C1:3970:DIESEL B5,Diesel B5 S-50;nan;nan;nan;nan;nan;nan;nan;7940.0;20/11/2023;INDEFINIDO;RAFAEL VASQUEZ MIRES;0
3135;202300062845;97332;97332-050-220323;10020345841;NINFA ROSARIO CAÑAZACA PAJA;"AV. MIRAMAR S/N CARRETERA A HUANCANE. LOTES N° 04; 05; 06 Y 07- BARRIO MIRAMAR";PUNO;MOHO;MOHO;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:2300:Diesel B5 S-50;C1:1500:GASOHOL REGULAR;nan;nan;nan;nan;nan;nan;nan;nan;3800.0;22/03/2023;INDEFINIDO;NINFA ROSARIO CAÑAZACA PAJA;0
3136;202300304333;111179;111179-050-111223;20490963562;GRIFO Y REPUESTOS MENA E.I.R.L.;SECTOR QUEBRADA S/N (CARRETERA CALCA-YANATILE);CUSCO;CALCA;YANATILE;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:2600:Diesel B5 S-50;C1:1100:GASOHOL REGULAR;C1:1100:GASOHOL 84 PLUS;nan;nan;nan;nan;nan;nan;nan;4800.0;11/12/2023;11/12/2024;ZENON MENA HUALLPA;0
3137;202200044759;45398;45398-050-040422;20454315414;ESTACION DE SERVICIOS Y COMERCIALIZADORA VIRGEN DEL BUEN PASO S.R.L.;CARRETERA PANAMERICANA SUR KM. 782, SECTOR PUMACOTO;AREQUIPA;CAMANA;OCONA;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:3609:Diesel B5 S-50;C1:3607:Diesel B5 S-50;C1:1794:GASOHOL 90 PLUS C2:896:Diesel B5 S-50;C1:1357:GASOHOL 97 PLUS C2:1357:GASOHOL 95 PLUS;nan;nan;nan;nan;nan;nan;12620.0;04/04/2022;INDEFINIDO;MILAGROS DEL CARMEN PAREDES NIETO;480
3138;202100120865;9624;9624-050-100223;20527812217;INVERSIONES SARA SOCIEDAD DE RESPONSABILIDAD LIMITADA;AV.CONFEDERACION N° 100;CUSCO;CANCHIS;SICUANI;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:4000:GASOHOL 95 PLUS;C1:5200:Diesel B5 S-50;C1:4000:GASOHOL 90 PLUS;nan;nan;nan;nan;nan;nan;nan;13200.0;10/02/2023;INDEFINIDO;TEODORO SARA ZAPATA;720
3139;201800000715;21185;21185-050-110118;10196869323;MILTON WILMER BERMUDEZ CARRION;ESQUINA PACO YUNQUE Y DADOS ETERNOS;LA LIBERTAD;SANTIAGO DE CHUCO;SANTIAGO DE CHUCO;ESTACIONES DE SERVICIOS;C1:3000:Diesel B5 S-50;C1:1800:GASOHOL 95 PLUS;C1:1050:GASOHOL 90 PLUS;nan;nan;nan;nan;nan;nan;nan;5850.0;11/01/2018;INDEFINIDO;MILTON WILMER BERMUDEZ CARRION;0
3140;202200027006;159018;159018-050-100522;20605374221;INVERSIONES GENERALES ORO NEGRO E.I.R.L.;CARRETERA CAYRAHUIRE - ORURILLO, KILOMETRO 14 INTERSECCIÓN CON TROCHA CARROZABLE HACIA C.P. BALSASPATA;PUNO;MELGAR;ORURILLO;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:6585:Diesel B5 S-50;C1:3951:GASOHOL 84 PLUS;C1:2634:GASOHOL 90 PLUS;nan;nan;nan;nan;nan;nan;nan;13170.0;10/05/2022;INDEFINIDO;FREDY ROLANDO RAMOS CANAHUIRE;720
3141;202300241647;110184;110184-050-041023;20567293212;INVERSIONES MILUSKA S.A.C.;JR. YAVARÍ Nº 1298 ESQ. CON CALLE MI PERU;LORETO;MAYNAS;IQUITOS;ESTACIONES DE SERVICIOS;C1:1850:GASOLINA 84 C2:1100:GASOLINA REGULAR C3:1500:DIESEL B5;nan;nan;nan;nan;nan;nan;nan;nan;nan;4450.0;04/10/2023;INDEFINIDO;PATRICIA KRISS SANDI ESTRADA;720
